index,original_pts,original_dts,original_duration,native_pts_tick,native_dts_tick,native_duration_tick,timescale,native_end_floor_ns,demux_pts,demux_dts,demux_duration,parse_pts,parse_dts,parse_duration,parse_end_ns,next_parse_pts,gap_ns
0,66666666,0,33333333,200,0,100,3000,100000000,66666666,0,33333333,66666666,0,33333333,99999999,133333333,33333334
1,133333332,33333333,33333334,400,100,100,3000,166666666,133333333,33333333,33333333,133333333,33333333,33333333,166666666,100000000,-66666666
2,99999999,66666666,33333333,300,200,100,3000,133333333,100000000,66666666,33333334,100000000,66666666,33333333,133333333,233333333,100000000
3,233333332,99999999,33333334,700,300,100,3000,266666666,233333333,100000000,33333333,233333333,100000000,33333333,266666666,166666666,-100000000
4,166666666,133333332,33333333,500,400,100,3000,200000000,166666666,133333333,33333333,166666666,133333333,33333333,199999999,200000000,1
5,199999999,166666666,33333333,600,500,100,3000,233333333,200000000,166666666,33333334,200000000,166666666,33333333,233333333,333333333,100000000
6,333333332,199999999,33333334,1000,600,100,3000,366666666,333333333,200000000,33333333,333333333,200000000,33333333,366666666,266666666,-100000000
7,266666666,233333332,33333333,800,700,100,3000,300000000,266666666,233333333,33333333,266666666,233333333,33333333,299999999,300000000,1
8,299999999,266666666,33333333,900,800,100,3000,333333333,300000000,266666666,33333334,300000000,266666666,33333333,333333333,433333333,100000000
9,433333332,299999999,33333334,1300,900,100,3000,466666666,433333333,300000000,33333333,433333333,300000000,33333333,466666666,366666666,-100000000
10,366666666,333333332,33333333,1100,1000,100,3000,400000000,366666666,333333333,33333333,366666666,333333333,33333333,399999999,400000000,1
11,399999999,366666666,33333333,1200,1100,100,3000,433333333,400000000,366666666,33333334,400000000,366666666,33333333,433333333,500000000,66666667
12,499999999,399999999,33333333,1500,1200,100,3000,533333333,500000000,400000000,33333333,500000000,400000000,33333333,533333333,466666666,-66666667
13,466666666,433333332,33333333,1400,1300,100,3000,500000000,466666666,433333333,33333333,466666666,433333333,33333333,499999999,566666666,66666667
14,566666666,466666666,33333333,1700,1400,100,3000,600000000,566666666,466666666,33333334,566666666,466666666,33333333,599999999,533333333,-66666666
15,533333332,499999999,33333334,1600,1500,100,3000,566666666,533333333,500000000,33333333,533333333,500000000,33333333,566666666,666666666,100000000
16,666666666,533333332,33333333,2000,1600,100,3000,700000000,666666666,533333333,33333333,666666666,533333333,33333333,699999999,600000000,-99999999
17,599999999,566666666,33333333,1800,1700,100,3000,633333333,600000000,566666666,33333334,600000000,566666666,33333333,633333333,633333333,0
18,633333332,599999999,33333334,1900,1800,100,3000,666666666,633333333,600000000,33333333,633333333,600000000,33333333,666666666,766666666,100000000
19,766666666,633333332,33333333,2300,1900,100,3000,800000000,766666666,633333333,33333333,766666666,633333333,33333333,799999999,700000000,-99999999
20,699999999,666666666,33333333,2100,2000,100,3000,733333333,700000000,666666666,33333334,700000000,666666666,33333333,733333333,733333333,0
21,733333332,699999999,33333334,2200,2100,100,3000,766666666,733333333,700000000,33333333,733333333,700000000,33333333,766666666,866666666,100000000
22,866666666,733333332,33333333,2600,2200,100,3000,900000000,866666666,733333333,33333333,866666666,733333333,33333333,899999999,800000000,-99999999
23,799999999,766666666,33333333,2400,2300,100,3000,833333333,800000000,766666666,33333334,800000000,766666666,33333333,833333333,833333333,0
24,833333332,799999999,33333334,2500,2400,100,3000,866666666,833333333,800000000,33333333,833333333,800000000,33333333,866666666,966666666,100000000
25,966666666,833333332,33333333,2900,2500,100,3000,1000000000,966666666,833333333,33333333,966666666,833333333,33333333,999999999,900000000,-99999999
26,899999999,866666666,33333333,2700,2600,100,3000,933333333,900000000,866666666,33333334,900000000,866666666,33333333,933333333,933333333,0
27,933333332,899999999,33333334,2800,2700,100,3000,966666666,933333333,900000000,33333333,933333333,900000000,33333333,966666666,1033333333,66666667
28,1033333332,933333332,33333334,3100,2800,100,3000,1066666666,1033333333,933333333,33333333,1033333333,933333333,33333333,1066666666,1000000000,-66666666
29,999999999,966666666,33333333,3000,2900,100,3000,1033333333,1000000000,966666666,33333334,1000000000,966666666,33333333,1033333333,null,null
