index,original_pts,original_dts,original_duration,native_pts_tick,native_dts_tick,native_duration_tick,timescale,native_end_floor_ns,demux_pts,demux_dts,demux_duration,parse_pts,parse_dts,parse_duration,parse_end_ns,next_parse_pts,gap_ns
0,0,0,20000000,0,0,60,3000,20000000,0,0,20000000,0,0,33333333,33333333,20000000,-13333333
1,20000000,20000000,50000000,60,60,150,3000,70000000,20000000,20000000,50000000,20000000,20000000,33333333,53333333,70000000,16666667
2,70000000,70000000,20000000,210,210,60,3000,90000000,70000000,70000000,20000000,70000000,70000000,33333333,103333333,90000000,-13333333
3,90000000,90000000,50000000,270,270,150,3000,140000000,90000000,90000000,50000000,90000000,90000000,33333333,123333333,140000000,16666667
4,140000000,140000000,20000000,420,420,60,3000,160000000,140000000,140000000,20000000,140000000,140000000,33333333,173333333,160000000,-13333333
5,160000000,160000000,50000000,480,480,150,3000,210000000,160000000,160000000,50000000,160000000,160000000,33333333,193333333,210000000,16666667
6,210000000,210000000,20000000,630,630,60,3000,230000000,210000000,210000000,20000000,210000000,210000000,33333333,243333333,230000000,-13333333
7,230000000,230000000,50000000,690,690,150,3000,280000000,230000000,230000000,50000000,230000000,230000000,33333333,263333333,280000000,16666667
8,280000000,280000000,20000000,840,840,60,3000,300000000,280000000,280000000,20000000,280000000,280000000,33333333,313333333,300000000,-13333333
9,300000000,300000000,50000000,900,900,150,3000,350000000,300000000,300000000,50000000,300000000,300000000,33333333,333333333,350000000,16666667
10,350000000,350000000,20000000,1050,1050,60,3000,370000000,350000000,350000000,20000000,350000000,350000000,33333333,383333333,370000000,-13333333
11,370000000,370000000,70000000,1110,1110,100,3000,403333333,370000000,370000000,33333333,370000000,370000000,33333333,403333333,null,null
