ordinal,original_pts_ns,original_dts_ns,writer_origin_ns,appsrc_pts_ns,appsrc_dts_ns,appsrc_duration_ns,mux_pts_ns,mux_dts_ns,mux_duration_ns,vcl_sha256,mux_raw_sha256,file_sample_index,native_pts_tick,native_dts_tick,native_duration_tick,timescale,forward_pts_tick,forward_dts_tick,forward_duration_tick
1,0,0,0,0,0,33366666,0,0,33366666,a06f8acb8a438c49fca6adbdd2ce95e7d3a620f55453e7d1cc786ea3117c9ecc,b8497ff725de3d223005eba186e19e8ec765b7327170241fb0fc40632dae9623,0,0,0,1001,30000,0,0,1001
2,33366666,33366666,0,33366666,33366666,33366667,33366666,33366666,33366666,84a662f9ad5835946a92f0c714350dc16109b80165027def0abb146794cd5305,c806dc7b95c856fcf5f93713a64b97597a6caadcace278d3df4af9b95107ffae,1,1001,1001,1001,30000,1001,1001,1001
3,66733333,66733333,0,66733333,66733333,33366667,66733333,66733333,33366666,7ea75a5b2d17bcba69e3348047052db707423e438a2c473e8abb4c18300c4c5c,6fe7efdc5a8243e668c0ed6805ffbfecb690c568e32a717fe5b2b83a2087877e,2,2002,2002,1001,30000,2002,2002,1001
4,100100000,100100000,0,100100000,100100000,33366666,100100000,100100000,33366666,07a73646d5414f4af3a06fa4dc001c30eb3cf545ee2813977b099697ed02e376,7f46b631f64275146d819b06794e9faf4d1d46d5ef2f47041c569285181d1deb,3,3003,3003,1001,30000,3003,3003,1001
5,133466666,133466666,0,133466666,133466666,33366667,133466666,133466666,33366666,143cf42cd2c9f2676693d50f96b60f006f5f0df6f80dfe1c509ded568454ad22,a4bf6dadefe40b6db173b42dc5ac1dd7d7cb444ee024fef0cc24e1af7f3731aa,4,4004,4004,1001,30000,4004,4004,1001
6,166833333,166833333,0,166833333,166833333,33366667,166833333,166833333,33366666,feda9268b0615686fc99e8554f6cc8d1255551012f44478259eba509b4ca664f,2d28e66c221afd72b472e2511b0d16effd83179cec9edee04ea2198be9d132b9,5,5005,5005,1001,30000,5005,5005,1001
7,200200000,200200000,0,200200000,200200000,33366666,200200000,200200000,33366666,a3bf2ecd9df359b137ac8bce41a9a9022dc066599b1a71519dda12485fadab71,5288b24b57d880a1e6afeeedbdc59b542e6aba725d698fc53f97f10b6e0c49f3,6,6006,6006,1001,30000,6006,6006,1001
8,233566666,233566666,0,233566666,233566666,33366667,233566666,233566666,33366666,24cd009f2a3d28be5950c5151353b9d1f9398233081f6cccf3eaea5134e77db2,a8d7f5e6f1d82fd80f3f2c2cf1395dd0f0925ae1eb4f11a9d6de2e99cce61815,7,7007,7007,1001,30000,7007,7007,1001
9,266933333,266933333,0,266933333,266933333,33366667,266933333,266933333,33366666,a9c1187d0c772b5e9979c21997aed967acdeae27b9c2f48d6b8374d5f9bc3abe,4954341393fefe24bdf7dbd6a0fcb359a467e5465a41b29c0ad624a4a8ea1399,8,8008,8008,1001,30000,8008,8008,1001
10,300300000,300300000,0,300300000,300300000,33366666,300300000,300300000,33366666,06a621e99b7bfd4a0d2fedbbfdf75879e7389253c9b90a7b30e4b3bc0e4b6512,10e50b4558387611bbdc98f0a907af47c1fb095be112aa59302445c9c651ac05,9,9009,9009,1001,30000,9009,9009,1001
