ordinal,original_pts_ns,original_dts_ns,writer_origin_ns,appsrc_pts_ns,appsrc_dts_ns,appsrc_duration_ns,mux_pts_ns,mux_dts_ns,mux_duration_ns,vcl_sha256,mux_raw_sha256,file_sample_index,native_pts_tick,native_dts_tick,native_duration_tick,timescale,forward_pts_tick,forward_dts_tick,forward_duration_tick
11,333666666,333666666,0,333666666,333666666,33366667,333666666,333666666,33366666,126b17187a3a1ec2a9ce2da3f5bf53899875bee509f7a4077a5f47045cbc7f41,d43a94b9371f1f4a2a71cd1db4fc1b86acaee48881e2159fd2ab7a7d7eb836c4,10,10010,10010,1001,30000,10010,10010,1001
12,367033333,367033333,0,367033333,367033333,33366667,367033333,367033333,33366666,44c570ddbc6a1795cefb61beb957ff2d2eda8864bcc981d06f40d801c6a5c8e0,121f3697dfc179b4567b1c6a7ac6c03ce4a3307f906aab02fac22c378edfbeb9,11,11011,11011,1001,30000,11011,11011,1001
13,400400000,400400000,0,400400000,400400000,33366666,400400000,400400000,33366666,d39d8bab514dc113c97bc07dc5eb21a2a2e1b1c4bbac031982edf06337b09dd6,19f117f69761fb3866b8d874547f8472dcbc39fa0bb05306df5ff08e1cc1b75c,12,12012,12012,1001,30000,12012,12012,1001
14,433766666,433766666,0,433766666,433766666,33366667,433766666,433766666,33366666,185a6c61d01da4dcfc5ae309672672894f1baa448c2491debcb6275b7e6384d1,353fcea47d1e2aa99984f17cb14b8f25e12f64e60ac0ad0b376ab6807e6d2af9,13,13013,13013,1001,30000,13013,13013,1001
15,467133333,467133333,0,467133333,467133333,33366667,467133333,467133333,33366666,f21c30a490b8473487cf5ba86dd3d8258ff184788943654acc82b4ccc807a01c,41ffa73436f2bde34260fc2c0a2247094700d04d41c0877ea6ada24bbe31b4c6,14,14014,14014,1001,30000,14014,14014,1001
16,500500000,500500000,0,500500000,500500000,33366666,500500000,500500000,33366666,828bbadd4a3b237a73b1f87f71a1223a75c4dff676c2855f7c50c3d39886ab7b,d61e65d29b9a3f5ab2b07e43a71932a4e7b8cf37649cb6027592a38234af4682,15,15015,15015,1001,30000,15015,15015,1001
17,533866666,533866666,0,533866666,533866666,33366667,533866666,533866666,33366666,12f99ac209e06b54819db1f59614ae1040e8185b537831586b4debb54388403e,acf775927698a8bf69c83e8166b800358e1e69a5cbdaf0a0406de15a71c5638e,16,16016,16016,1001,30000,16016,16016,1001
18,567233333,567233333,0,567233333,567233333,33366667,567233333,567233333,33366666,8b007549bd95e5b16a4b5714228dd43c5cc6ff436ea6a1940c42cc2f64cb984c,88d67a0d3d22cb86207cc0ce494222934250b4e94ef8490f7c4d8247e2177e86,17,17017,17017,1001,30000,17017,17017,1001
19,600600000,600600000,0,600600000,600600000,33366666,600600000,600600000,33366666,f7926490475881d0bb927ceda23c486cc06e52502fece10978902ae365874f9d,3de413711e4cbd7b8f6bc825cc490b4739be1374cf42605c7d438938437bc1cf,18,18018,18018,1001,30000,18018,18018,1001
20,633966666,633966666,0,633966666,633966666,33366667,633966666,633966666,33366666,87da959390bf408ef82d2dcce1d5f769f893bde6568ccf64665b3ca89d6d823e,05a68c7bce1dc9c3108c5d9cc69c63135b0be796cb19cf5ffdd16fd3f6604481,19,19019,19019,1001,30000,19019,19019,1001
21,667333333,667333333,0,667333333,667333333,33366667,667333333,667333333,33366666,5914b40a75a6debac270faec8ed4a320925db1ef128e207a9f889af706d2e01c,f3715bc69f60cc00358e6cd08895c62d473ea969a9e9eab6ee23f45cd0a29607,20,20020,20020,1001,30000,20020,20020,1001
22,700700000,700700000,0,700700000,700700000,33366666,700700000,700700000,33366666,f1455e6b8943e7968f67537af1307ab224f3a1413844d8b546817d0d9a37e3a0,8708634198b6124cc40c882ed5fcbe26067ce1048416da281c56b67878fde9df,21,21021,21021,1001,30000,21021,21021,1001
23,734066666,734066666,0,734066666,734066666,33366667,734066666,734066666,33366666,95a6a4d03b8fd1c7facd97e5f2f7e48faab1c8b39044e79b30ffddc877bc0e79,0180b2c35b22e23cf6be2264fd9c67f50fb271bd729286199d20097d8278a732,22,22022,22022,1001,30000,22022,22022,1001
24,767433333,767433333,0,767433333,767433333,33366667,767433333,767433333,33366666,e2c8b17e1fc9922d9bb5dd9d3584b13b64ef864617a83e914f5f7a64f81cd279,fb75ca43b0383ee8627f246b7fe834e90266951b12421fe4b4954690878485ab,23,23023,23023,1001,30000,23023,23023,1001
25,800800000,800800000,0,800800000,800800000,33366666,800800000,800800000,33366666,f02d2b8acb2fc0359be9eae924e4a7f91ad4ee0f0e48034229b47f6deb6b86e7,50e798c6a1c5ef1f6d82fce7f3427749faaf75348c39fb9fccca99d382689bc2,24,24024,24024,1001,30000,24024,24024,1001
26,834166666,834166666,0,834166666,834166666,33366667,834166666,834166666,33366666,828104ec8c69ee81455e64d1a8f1d99fd5901db0f011166a1d6a999b3cadfb86,edca12f42115ccb29685ed40caf6afd7ee7d581a1d7592302cc2b89e8d4a723c,25,25025,25025,1001,30000,25025,25025,1001
27,867533333,867533333,0,867533333,867533333,33366667,867533333,867533333,33366666,1142577caaf5f24239204d5d0a28584a755a878b4a59ed973d7f340385786fed,2163585dcc725799f51bc138a0c7853ddf8f54b2c5a575aa31ae3c811a41390d,26,26026,26026,1001,30000,26026,26026,1001
28,900900000,900900000,0,900900000,900900000,33366666,900900000,900900000,33366666,75e912d9f5646c3de01a51870d2c2684b6a540a5c1e61364a30d9801cf17a384,3671eaf904e4bf1dcceb26749bb410bb6a52ead08af509d96f40b6977c26b5ac,27,27027,27027,1001,30000,27027,27027,1001
29,934266666,934266666,0,934266666,934266666,33366667,934266666,934266666,33366666,d889e8c79843757ef15380097da123dbcc15425ea75882bf9a05c8da8463a979,ef8a0ac03a32913b2564b742aced80df3456c46c3ba2e5af9352abda652bda49,28,28028,28028,1001,30000,28028,28028,1001
30,967633333,967633333,0,967633333,967633333,33366667,967633333,967633333,33366666,2ef306b54e2376554c67be9317e2a4ec323e8b0b3b2dd52dba79d54f9ae2b033,f3e43a6ca72e99ce1a3d5c784f449723d2d2689568facd002059dd92908265c9,29,29029,29029,1001,30000,29029,29029,1001
