ordinal,pts_ns
1,0
2,33366666
3,66733333
4,100100000
5,133466666
6,166833333
7,200200000
8,233566666
9,266933333
10,300300000
11,333666666
12,367033333
13,400400000
14,433766666
15,467133333
16,500500000
17,533866666
18,567233333
19,600600000
20,633966666
21,667333333
22,700700000
23,734066666
24,767433333
25,800800000
26,834166666
27,867533333
28,900900000
29,934266666
30,967633333
