index,original_pts,original_dts,original_duration,native_pts_tick,native_dts_tick,native_duration_tick,timescale,native_end_floor_ns,demux_pts,demux_dts,demux_duration,parse_pts,parse_dts,parse_duration,parse_end_ns,next_parse_pts,gap_ns
0,8333333333,8333333333,33333333,0,0,100,3000,33333333,0,0,33333333,0,0,33333333,33333333,33333333,0
1,8366666666,8366666666,33333334,100,100,100,3000,66666666,33333333,33333333,33333333,33333333,33333333,33333333,66666666,66666666,0
2,8400000000,8400000000,33333333,200,200,100,3000,100000000,66666666,66666666,33333334,66666666,66666666,33333333,99999999,100000000,1
3,8433333333,8433333333,33333333,300,300,100,3000,133333333,100000000,100000000,33333333,100000000,100000000,33333333,133333333,133333333,0
4,8466666666,8466666666,33333334,400,400,100,3000,166666666,133333333,133333333,33333333,133333333,133333333,33333333,166666666,166666666,0
5,8500000000,8500000000,33333333,500,500,100,3000,200000000,166666666,166666666,33333334,166666666,166666666,33333333,199999999,200000000,1
6,8533333333,8533333333,33333333,600,600,100,3000,233333333,200000000,200000000,33333333,200000000,200000000,33333333,233333333,233333333,0
7,8566666666,8566666666,33333334,700,700,100,3000,266666666,233333333,233333333,33333333,233333333,233333333,33333333,266666666,266666666,0
8,8600000000,8600000000,33333333,800,800,100,3000,300000000,266666666,266666666,33333334,266666666,266666666,33333333,299999999,300000000,1
9,8633333333,8633333333,33333333,900,900,100,3000,333333333,300000000,300000000,33333333,300000000,300000000,33333333,333333333,333333333,0
10,8666666666,8666666666,33333334,1000,1000,100,3000,366666666,333333333,333333333,33333333,333333333,333333333,33333333,366666666,366666666,0
11,8700000000,8700000000,33333333,1100,1100,100,3000,400000000,366666666,366666666,33333334,366666666,366666666,33333333,399999999,400000000,1
12,8733333333,8733333333,33333333,1200,1200,100,3000,433333333,400000000,400000000,33333333,400000000,400000000,33333333,433333333,433333333,0
13,8766666666,8766666666,33333334,1300,1300,100,3000,466666666,433333333,433333333,33333333,433333333,433333333,33333333,466666666,466666666,0
14,8800000000,8800000000,33333333,1400,1400,100,3000,500000000,466666666,466666666,33333334,466666666,466666666,33333333,499999999,500000000,1
15,8833333333,8833333333,33333333,1500,1500,100,3000,533333333,500000000,500000000,33333333,500000000,500000000,33333333,533333333,533333333,0
16,8866666666,8866666666,33333334,1600,1600,100,3000,566666666,533333333,533333333,33333333,533333333,533333333,33333333,566666666,566666666,0
17,8900000000,8900000000,33333333,1700,1700,100,3000,600000000,566666666,566666666,33333334,566666666,566666666,33333333,599999999,600000000,1
18,8933333333,8933333333,33333333,1800,1800,100,3000,633333333,600000000,600000000,33333333,600000000,600000000,33333333,633333333,633333333,0
19,8966666666,8966666666,33333334,1900,1900,100,3000,666666666,633333333,633333333,33333333,633333333,633333333,33333333,666666666,666666666,0
20,9000000000,9000000000,33333333,2000,2000,100,3000,700000000,666666666,666666666,33333334,666666666,666666666,33333333,699999999,700000000,1
21,9033333333,9033333333,33333333,2100,2100,100,3000,733333333,700000000,700000000,33333333,700000000,700000000,33333333,733333333,733333333,0
22,9066666666,9066666666,33333334,2200,2200,100,3000,766666666,733333333,733333333,33333333,733333333,733333333,33333333,766666666,766666666,0
23,9100000000,9100000000,33333333,2300,2300,100,3000,800000000,766666666,766666666,33333334,766666666,766666666,33333333,799999999,800000000,1
24,9133333333,9133333333,33333333,2400,2400,100,3000,833333333,800000000,800000000,33333333,800000000,800000000,33333333,833333333,833333333,0
25,9166666666,9166666666,33333334,2500,2500,100,3000,866666666,833333333,833333333,33333333,833333333,833333333,33333333,866666666,866666666,0
26,9200000000,9200000000,33333333,2600,2600,100,3000,900000000,866666666,866666666,33333334,866666666,866666666,33333333,899999999,900000000,1
27,9233333333,9233333333,33333333,2700,2700,100,3000,933333333,900000000,900000000,33333333,900000000,900000000,33333333,933333333,933333333,0
28,9266666666,9266666666,33333334,2800,2800,100,3000,966666666,933333333,933333333,33333333,933333333,933333333,33333333,966666666,966666666,0
29,9300000000,9300000000,33333333,2900,2900,100,3000,1000000000,966666666,966666666,33333334,966666666,966666666,33333333,999999999,1000000000,1
30,9333333333,9333333333,33333333,3000,3000,100,3000,1033333333,1000000000,1000000000,33333333,1000000000,1000000000,33333333,1033333333,1033333333,0
