segment,file,ordinal,count,media_start
0,store/probe-channel/ed920222-480e-40be-8489-77b551b32ca8.mp4,1,250,0
1,store/probe-channel/594ba192-a2a1-4d9f-a29d-a5fb4f3dc08a.mp4,251,50,8333333333
