segment,file,ordinal,count,media_start
0,store/probe-channel/c319bde5-718c-4cba-a45e-7548ca6c535a.mp4,1,250,0
1,store/probe-channel/e773ca53-516e-4e07-9369-3574f9cf5e99.mp4,251,50,8333333333
