ordinal,original_pts_ns,original_dts_ns,writer_origin_ns,appsrc_pts_ns,appsrc_dts_ns,appsrc_duration_ns,mux_pts_ns,mux_dts_ns,mux_duration_ns,vcl_sha256,mux_raw_sha256,file_sample_index,native_pts_tick,native_dts_tick,native_duration_tick,timescale,forward_pts_tick,forward_dts_tick,forward_duration_tick
1,0,0,0,0,0,33333333,0,0,33333333,a06f8acb8a438c49fca6adbdd2ce95e7d3a620f55453e7d1cc786ea3117c9ecc,e24916557285c63dc6ab45fe406b7e5867892bc3c6d1b4bc01550debf1575291,0,0,0,100,3000,0,0,100
2,33333333,33333333,0,33333333,33333333,33333333,33333333,33333333,33333333,84a662f9ad5835946a92f0c714350dc16109b80165027def0abb146794cd5305,c806dc7b95c856fcf5f93713a64b97597a6caadcace278d3df4af9b95107ffae,1,100,100,100,3000,100,100,100
3,66666666,66666666,0,66666666,66666666,33333334,66666666,66666666,33333333,7ea75a5b2d17bcba69e3348047052db707423e438a2c473e8abb4c18300c4c5c,6fe7efdc5a8243e668c0ed6805ffbfecb690c568e32a717fe5b2b83a2087877e,2,200,200,100,3000,200,200,100
4,100000000,100000000,0,100000000,100000000,33333333,100000000,100000000,33333333,07a73646d5414f4af3a06fa4dc001c30eb3cf545ee2813977b099697ed02e376,7f46b631f64275146d819b06794e9faf4d1d46d5ef2f47041c569285181d1deb,3,300,300,100,3000,300,300,100
5,133333333,133333333,0,133333333,133333333,33333333,133333333,133333333,33333333,143cf42cd2c9f2676693d50f96b60f006f5f0df6f80dfe1c509ded568454ad22,a4bf6dadefe40b6db173b42dc5ac1dd7d7cb444ee024fef0cc24e1af7f3731aa,4,400,400,100,3000,400,400,100
6,166666666,166666666,0,166666666,166666666,33333334,166666666,166666666,33333333,feda9268b0615686fc99e8554f6cc8d1255551012f44478259eba509b4ca664f,2d28e66c221afd72b472e2511b0d16effd83179cec9edee04ea2198be9d132b9,5,500,500,100,3000,500,500,100
7,200000000,200000000,0,200000000,200000000,33333333,200000000,200000000,33333333,a3bf2ecd9df359b137ac8bce41a9a9022dc066599b1a71519dda12485fadab71,5288b24b57d880a1e6afeeedbdc59b542e6aba725d698fc53f97f10b6e0c49f3,6,600,600,100,3000,600,600,100
8,233333333,233333333,0,233333333,233333333,33333333,233333333,233333333,33333333,24cd009f2a3d28be5950c5151353b9d1f9398233081f6cccf3eaea5134e77db2,a8d7f5e6f1d82fd80f3f2c2cf1395dd0f0925ae1eb4f11a9d6de2e99cce61815,7,700,700,100,3000,700,700,100
9,266666666,266666666,0,266666666,266666666,33333334,266666666,266666666,33333333,a9c1187d0c772b5e9979c21997aed967acdeae27b9c2f48d6b8374d5f9bc3abe,4954341393fefe24bdf7dbd6a0fcb359a467e5465a41b29c0ad624a4a8ea1399,8,800,800,100,3000,800,800,100
10,300000000,300000000,0,300000000,300000000,33333333,300000000,300000000,33333333,06a621e99b7bfd4a0d2fedbbfdf75879e7389253c9b90a7b30e4b3bc0e4b6512,10e50b4558387611bbdc98f0a907af47c1fb095be112aa59302445c9c651ac05,9,900,900,100,3000,900,900,100
11,333333333,333333333,0,333333333,333333333,33333333,333333333,333333333,33333333,126b17187a3a1ec2a9ce2da3f5bf53899875bee509f7a4077a5f47045cbc7f41,d43a94b9371f1f4a2a71cd1db4fc1b86acaee48881e2159fd2ab7a7d7eb836c4,10,1000,1000,100,3000,1000,1000,100
12,366666666,366666666,0,366666666,366666666,33333334,366666666,366666666,33333333,44c570ddbc6a1795cefb61beb957ff2d2eda8864bcc981d06f40d801c6a5c8e0,121f3697dfc179b4567b1c6a7ac6c03ce4a3307f906aab02fac22c378edfbeb9,11,1100,1100,100,3000,1100,1100,100
13,400000000,400000000,0,400000000,400000000,33333333,400000000,400000000,33333333,d39d8bab514dc113c97bc07dc5eb21a2a2e1b1c4bbac031982edf06337b09dd6,19f117f69761fb3866b8d874547f8472dcbc39fa0bb05306df5ff08e1cc1b75c,12,1200,1200,100,3000,1200,1200,100
14,433333333,433333333,0,433333333,433333333,33333333,433333333,433333333,33333333,185a6c61d01da4dcfc5ae309672672894f1baa448c2491debcb6275b7e6384d1,353fcea47d1e2aa99984f17cb14b8f25e12f64e60ac0ad0b376ab6807e6d2af9,13,1300,1300,100,3000,1300,1300,100
15,466666666,466666666,0,466666666,466666666,33333334,466666666,466666666,33333333,f21c30a490b8473487cf5ba86dd3d8258ff184788943654acc82b4ccc807a01c,41ffa73436f2bde34260fc2c0a2247094700d04d41c0877ea6ada24bbe31b4c6,14,1400,1400,100,3000,1400,1400,100
16,500000000,500000000,0,500000000,500000000,33333333,500000000,500000000,33333333,828bbadd4a3b237a73b1f87f71a1223a75c4dff676c2855f7c50c3d39886ab7b,d61e65d29b9a3f5ab2b07e43a71932a4e7b8cf37649cb6027592a38234af4682,15,1500,1500,100,3000,1500,1500,100
17,533333333,533333333,0,533333333,533333333,33333333,533333333,533333333,33333333,12f99ac209e06b54819db1f59614ae1040e8185b537831586b4debb54388403e,acf775927698a8bf69c83e8166b800358e1e69a5cbdaf0a0406de15a71c5638e,16,1600,1600,100,3000,1600,1600,100
18,566666666,566666666,0,566666666,566666666,33333334,566666666,566666666,33333333,8b007549bd95e5b16a4b5714228dd43c5cc6ff436ea6a1940c42cc2f64cb984c,88d67a0d3d22cb86207cc0ce494222934250b4e94ef8490f7c4d8247e2177e86,17,1700,1700,100,3000,1700,1700,100
19,600000000,600000000,0,600000000,600000000,33333333,600000000,600000000,33333333,f7926490475881d0bb927ceda23c486cc06e52502fece10978902ae365874f9d,3de413711e4cbd7b8f6bc825cc490b4739be1374cf42605c7d438938437bc1cf,18,1800,1800,100,3000,1800,1800,100
20,633333333,633333333,0,633333333,633333333,33333333,633333333,633333333,33333333,87da959390bf408ef82d2dcce1d5f769f893bde6568ccf64665b3ca89d6d823e,05a68c7bce1dc9c3108c5d9cc69c63135b0be796cb19cf5ffdd16fd3f6604481,19,1900,1900,100,3000,1900,1900,100
21,666666666,666666666,0,666666666,666666666,33333334,666666666,666666666,33333333,5914b40a75a6debac270faec8ed4a320925db1ef128e207a9f889af706d2e01c,f3715bc69f60cc00358e6cd08895c62d473ea969a9e9eab6ee23f45cd0a29607,20,2000,2000,100,3000,2000,2000,100
22,700000000,700000000,0,700000000,700000000,33333333,700000000,700000000,33333333,f1455e6b8943e7968f67537af1307ab224f3a1413844d8b546817d0d9a37e3a0,8708634198b6124cc40c882ed5fcbe26067ce1048416da281c56b67878fde9df,21,2100,2100,100,3000,2100,2100,100
23,733333333,733333333,0,733333333,733333333,33333333,733333333,733333333,33333333,95a6a4d03b8fd1c7facd97e5f2f7e48faab1c8b39044e79b30ffddc877bc0e79,0180b2c35b22e23cf6be2264fd9c67f50fb271bd729286199d20097d8278a732,22,2200,2200,100,3000,2200,2200,100
24,766666666,766666666,0,766666666,766666666,33333334,766666666,766666666,33333333,e2c8b17e1fc9922d9bb5dd9d3584b13b64ef864617a83e914f5f7a64f81cd279,fb75ca43b0383ee8627f246b7fe834e90266951b12421fe4b4954690878485ab,23,2300,2300,100,3000,2300,2300,100
25,800000000,800000000,0,800000000,800000000,33333333,800000000,800000000,33333333,f02d2b8acb2fc0359be9eae924e4a7f91ad4ee0f0e48034229b47f6deb6b86e7,50e798c6a1c5ef1f6d82fce7f3427749faaf75348c39fb9fccca99d382689bc2,24,2400,2400,100,3000,2400,2400,100
26,833333333,833333333,0,833333333,833333333,33333333,833333333,833333333,33333333,828104ec8c69ee81455e64d1a8f1d99fd5901db0f011166a1d6a999b3cadfb86,edca12f42115ccb29685ed40caf6afd7ee7d581a1d7592302cc2b89e8d4a723c,25,2500,2500,100,3000,2500,2500,100
27,866666666,866666666,0,866666666,866666666,33333334,866666666,866666666,33333333,1142577caaf5f24239204d5d0a28584a755a878b4a59ed973d7f340385786fed,2163585dcc725799f51bc138a0c7853ddf8f54b2c5a575aa31ae3c811a41390d,26,2600,2600,100,3000,2600,2600,100
28,900000000,900000000,0,900000000,900000000,33333333,900000000,900000000,33333333,75e912d9f5646c3de01a51870d2c2684b6a540a5c1e61364a30d9801cf17a384,3671eaf904e4bf1dcceb26749bb410bb6a52ead08af509d96f40b6977c26b5ac,27,2700,2700,100,3000,2700,2700,100
29,933333333,933333333,0,933333333,933333333,33333333,933333333,933333333,33333333,d889e8c79843757ef15380097da123dbcc15425ea75882bf9a05c8da8463a979,ef8a0ac03a32913b2564b742aced80df3456c46c3ba2e5af9352abda652bda49,28,2800,2800,100,3000,2800,2800,100
30,966666666,966666666,0,966666666,966666666,33333334,966666666,966666666,33333333,2ef306b54e2376554c67be9317e2a4ec323e8b0b3b2dd52dba79d54f9ae2b033,f3e43a6ca72e99ce1a3d5c784f449723d2d2689568facd002059dd92908265c9,29,2900,2900,100,3000,2900,2900,100
31,1000000000,1000000000,0,1000000000,1000000000,33333333,1000000000,1000000000,33333333,fb46b1f37dc6da2dee35f8898c9c93a1882c4a30a33d3acdf55ed258546b7ab9,c3db833898f481feb8815bc7f02f1f67dc5c9bd4e239b68cbf71f1e84df06f5e,30,3000,3000,100,3000,3000,3000,100
32,1033333333,1033333333,0,1033333333,1033333333,33333333,1033333333,1033333333,33333333,78b9fb38d42362d0062080a3614a7fd037e7fa902422c34d73222500adcfc000,f258e52501be6e7384f53b8f191402feb5769be2e080670ae6a9539ea962f793,31,3100,3100,100,3000,3100,3100,100
33,1066666666,1066666666,0,1066666666,1066666666,33333334,1066666666,1066666666,33333333,5f7223c5146b0b6c98f7e4b1e329abd6af1e00eb3695b9bd64b783ce17df21d4,e7f9620e7b901ab0f0dfcc0937432963cd52ac9622abd141003c7734ac4b24f2,32,3200,3200,100,3000,3200,3200,100
34,1100000000,1100000000,0,1100000000,1100000000,33333333,1100000000,1100000000,33333333,b87c61a02a773e1ac7fdb258e630312a7ce8a00694dc9794d808764ab0bb71ed,8303d67dfd0bbc75dd591ff6eb6b3836fe212b039bb04c08e4df0e834d91153a,33,3300,3300,100,3000,3300,3300,100
35,1133333333,1133333333,0,1133333333,1133333333,33333333,1133333333,1133333333,33333333,4ad896a5ae70d2403b95e282cf31697b0aa78babe1002648fb4f439d132bc33e,fcdbc918f7da2cf5bd2256e91550b1a2f4abc4dd84fde3edb00a75f8980d0b81,34,3400,3400,100,3000,3400,3400,100
36,1166666666,1166666666,0,1166666666,1166666666,33333334,1166666666,1166666666,33333333,93d07a644da91e9f05f8ea4df099b63fdafb6d92091925316478258ebb1fc020,1aecf5affb450e570e1ca02b729d85745a8ed38f634f55c4685ae6ce8e6b658b,35,3500,3500,100,3000,3500,3500,100
