ordinal,pts_ns
251,8333333333
252,8366666666
253,8400000000
254,8433333333
255,8466666666
256,8500000000
257,8533333333
258,8566666666
259,8600000000
260,8633333333
261,8666666666
262,8700000000
263,8733333333
264,8766666666
265,8800000000
266,8833333333
267,8866666666
268,8900000000
269,8933333333
270,8966666666
271,9000000000
272,9033333333
273,9066666666
274,9100000000
275,9133333333
276,9166666666
277,9200000000
278,9233333333
279,9266666666
280,9300000000
281,9333333333
282,9366666666
283,9400000000
284,9433333333
285,9466666666
286,9500000000
287,9533333333
288,9566666666
289,9600000000
290,9633333333
291,9666666666
292,9700000000
293,9733333333
294,9766666666
295,9800000000
296,9833333333
297,9866666666
298,9900000000
299,9933333333
300,9966666666
