ordinal,original_pts_ns,original_dts_ns,writer_origin_ns,appsrc_pts_ns,appsrc_dts_ns,appsrc_duration_ns,mux_pts_ns,mux_dts_ns,mux_duration_ns,vcl_sha256,mux_raw_sha256,file_sample_index,native_pts_tick,native_dts_tick,native_duration_tick,timescale,forward_pts_tick,forward_dts_tick,forward_duration_tick
251,8333333333,8333333333,8333333333,0,0,33333333,0,0,33333333,ba433c369d79c1d7dc8c3e808ff98805976b422a273fc10ecbad91ff7651ffdc,89e7d744e5d25621f5172528d5a67c9a79c62d2b88ffb779a2677679ee7685d0,0,0,0,100,3000,0,0,100
252,8366666666,8366666666,8333333333,33333333,33333333,33333334,33333333,33333333,33333333,7679a77b505942bbcee6366691613aedea4874bf7067f62d3434d8f1922c77de,e4337a7e32eec16f470861366e840714201e80fec2cdf7e65d3e9a0c278bf638,1,100,100,100,3000,100,100,100
253,8400000000,8400000000,8333333333,66666667,66666667,33333333,66666667,66666667,33333333,ad99f28bbd5b80e762c5a4120397d2bf778347df61d60205259b0d81503baa36,a02f08d44129854ede3b2fe99989d9aa691fb8cd254832009823f62f6b40ef41,2,200,200,100,3000,200,200,100
254,8433333333,8433333333,8333333333,100000000,100000000,33333333,100000000,100000000,33333333,07f6e55e83166260c16a3bb72d8fe807499573b1b35bcc22e30ddb0172480a62,6f71764c8339e4e935ff0ef9bde2d487ac92bf9c241fac19a043b4b217f76c0a,3,300,300,100,3000,300,300,100
255,8466666666,8466666666,8333333333,133333333,133333333,33333334,133333333,133333333,33333333,9734f39521f551e37efab17e9b851ac89335c318857465ef7ee4d7628b0f03d8,cb8f3be4c4bc885a51fa57dd0103052400136ce0a1dfdfd9948d5b5ad7392e1a,4,400,400,100,3000,400,400,100
256,8500000000,8500000000,8333333333,166666667,166666667,33333333,166666667,166666667,33333333,1a94756b4424b20801f83e7c64497be978b5c27b1b7fd6191bcbd6bbac7e08eb,3fa4b2a79f6ee862ee46ae403c78055ea21e97d6b0f630dc048e9ad5fef44c57,5,500,500,100,3000,500,500,100
257,8533333333,8533333333,8333333333,200000000,200000000,33333333,200000000,200000000,33333333,83b8c836a44a0ac7b0b86abcbfc494e2330175d6393764fe369b43c52164a162,5773fa3380c17e444d1c9ae6800de43906b953c2f4222d719f3d5f72b45ee1ef,6,600,600,100,3000,600,600,100
258,8566666666,8566666666,8333333333,233333333,233333333,33333334,233333333,233333333,33333333,eef8e2bca1550bd54ee2c641d5f544ce2f6c7cd7ebaf03e042f9b666a5d5f639,cb1bb850a322da76706f204dac905dd58efab7ec30e7f79dce59143f8aea50f5,7,700,700,100,3000,700,700,100
259,8600000000,8600000000,8333333333,266666667,266666667,33333333,266666667,266666667,33333333,a78a553f3c0b26766d71f5c7c0861b3468c8e81209429d0a649ad25ae2a72b69,29981528bd402b3663a610c3e81dfabb02f5105dd2ac46cdadfe8fa3c3967a0b,8,800,800,100,3000,800,800,100
260,8633333333,8633333333,8333333333,300000000,300000000,33333333,300000000,300000000,33333333,84b688bb96e4d7776e15391dfa1cca9ffcb9209333da1f609bb5f0309d327484,56079c737f71fc96223c1518e1d408604275fc2613ad91d64542c8a7e8d11dd1,9,900,900,100,3000,900,900,100
261,8666666666,8666666666,8333333333,333333333,333333333,33333334,333333333,333333333,33333333,06d0075a7609f8ab3dca72c0ff50b5dd06f5095dbe265c5e4adf0ec5d4416864,59734c1260f807b2c26ed17146681ee31f2bbbb39515352ab576adbd1bcb80c0,10,1000,1000,100,3000,1000,1000,100
262,8700000000,8700000000,8333333333,366666667,366666667,33333333,366666667,366666667,33333333,72abae4e4c0a362bb32a8fe40c7a0d52e21af8ed6cbc2c76969ecf5f3d5180a9,052820aa540a50f396e9470754df8dc4c92f4d04de310c7915d61f82b699d9f7,11,1100,1100,100,3000,1100,1100,100
263,8733333333,8733333333,8333333333,400000000,400000000,33333333,400000000,400000000,33333333,e489b839f21ec3a8f65b9064d6c1900abe8061547c98a7dd001e7df735656823,3475be77819c42f877c12238aef90d50a6cbe45ad7146b7983185df9eb7b6bd7,12,1200,1200,100,3000,1200,1200,100
264,8766666666,8766666666,8333333333,433333333,433333333,33333334,433333333,433333333,33333333,7b5cbc9d8e5153faabe9d63e3a2c958126907676efa6ada3f048a9a3bb15f3aa,0f3eae93746ed2dbceb9cd102d668d072e402b1aa87642881df4c73930678a2b,13,1300,1300,100,3000,1300,1300,100
265,8800000000,8800000000,8333333333,466666667,466666667,33333333,466666667,466666667,33333333,0722b891d559436218bd2705016c05a80c74a82597a41e78fe0378f3b30e1ee8,0231c5948c8f9c1021b5d6a7256acf3ec287866a9286beb85f6bf376f794413f,14,1400,1400,100,3000,1400,1400,100
266,8833333333,8833333333,8333333333,500000000,500000000,33333333,500000000,500000000,33333333,750c16a6aa7ff66ac13c9819ed19dbbcab6937efe95b13f2be9d12cd17dbcf27,059f32e35e5b6c6cd32b2eecbc48aa2735cfc701d0befd8d16fcb3528af864b3,15,1500,1500,100,3000,1500,1500,100
267,8866666666,8866666666,8333333333,533333333,533333333,33333334,533333333,533333333,33333333,60300c5644e1562076e6a78ffa297b21f4927a26ac9c8929c3376400e34b328e,21d453f309db43f6813a779241c9c2b58218907da94d8de63a4df86cde64ef22,16,1600,1600,100,3000,1600,1600,100
268,8900000000,8900000000,8333333333,566666667,566666667,33333333,566666667,566666667,33333333,23e683f2ea3ab85ebde3f3fd39eaa6bed145f41d66f404a714e0945a2bc7dc59,3a97779d5d1d4c2457bd2ebbb9d78e9570e55741bf8f1e6c3cf8116ddac12f66,17,1700,1700,100,3000,1700,1700,100
269,8933333333,8933333333,8333333333,600000000,600000000,33333333,600000000,600000000,33333333,8f61bee8d8dbdd339bb95b68f4fc8596b6d69c1f4c093cb53b71cdf84e3702af,93ab8197614c002c278222cb78205c7b671050af2fecec5dedca80508903c152,18,1800,1800,100,3000,1800,1800,100
270,8966666666,8966666666,8333333333,633333333,633333333,33333334,633333333,633333333,33333333,9a818e6ebde500dd5464a68abfd01d2278d9fcba10db877bfca1f717a7774e26,ff7bbca39b843057cdbf7099ea08a4f7fbb309a46eded17df8c4988f1a83a0e3,19,1900,1900,100,3000,1900,1900,100
271,9000000000,9000000000,8333333333,666666667,666666667,33333333,666666667,666666667,33333333,05fff94bc337971af661ceb2b12fb889f26abaaae0141c957f7b760bb62bf777,129cf7f51fafcf7ca3019a91f02d0d71db01998dcaf018ff747d7896a5e9f510,20,2000,2000,100,3000,2000,2000,100
272,9033333333,9033333333,8333333333,700000000,700000000,33333333,700000000,700000000,33333333,286b93cfda25990153c6beeedc3cd7ea3dafd5d8d6f6c642047e6f89bcc29aa5,53f13f0783123d2eec11b0fd92a222383048d08d50f1188c005d3adbca27d675,21,2100,2100,100,3000,2100,2100,100
